Country.of.Origin,AVG_Aroma,AVG_Flavor,AVG_Aftertaste,AVG_Acidity,AVG_Body,AVG_Balance,AVG_Uniformity,AVG_Clean.Cup,AVG_Sweetness,AVG_Moisture,AVG_Quakers,AVG_Category.One.Defects,AVG_Category.Two.Defects,Rec_Cnt
Brazil,7.55310606060606,7.573560606060607,7.440530303030303,7.511439393939394,7.544545454545455,7.531515151515151,9.884924242424242,9.853484848484849,9.94939393939394,0.08234848484848484,0.44696969696969696,0.12878787878787878,3.5984848484848486,132
Burundi,7.415,7.46,7.25,7.415,7.29,7.415,10.0,10.0,10.0,0.06,0.0,0.0,2.5,2
China,7.64125,7.625625,7.484375,7.578125,7.57375,7.548125,9.958125,9.958125,9.91625,0.094375,0.5,0.0,4.0,16
Colombia,7.653060109289617,7.597103825136612,7.5246994535519125,7.5600000000000005,7.609508196721311,7.708415300546449,9.934426229508198,9.94535519125683,9.952677595628415,0.062021857923497264,0.20765027322404372,0.3770491803278688,1.9398907103825136,183
Costa Rica,7.671372549019608,7.537254901960784,7.534509803921568,7.57392156862745,7.537450980392157,7.637254901960785,9.856274509803923,9.86921568627451,9.90843137254902,0.08333333333333333,0.11764705882352941,0.35294117647058826,2.823529411764706,51
Cote dIvoire,7.42,7.25,6.83,7.0,7.33,7.08,9.33,10.0,10.0,0.13,0.0,1.0,2.0,1
Ecuador,7.583333333333333,7.640000000000001,7.553333333333334,7.6933333333333325,6.026666666666666,6.97,10.0,10.0,8.723333333333334,0.03,0.0,0.0,0.3333333333333333,3
El Salvador,7.674761904761904,7.654285714285715,7.567142857142857,7.590476190476191,7.606666666666667,7.711428571428572,9.936190476190475,9.936190476190475,9.808571428571428,0.045714285714285714,0.09523809523809523,0.14285714285714285,3.5714285714285716,21
Ethiopia,7.8963636363636365,8.009090909090908,7.893863636363636,8.043636363636365,7.92409090909091,7.972272727272727,9.87840909090909,9.954318181818183,9.86340909090909,0.08295454545454545,0.36363636363636365,0.25,5.159090909090909,44
Guatemala,7.544861878453038,7.489005524861878,7.2668508287292815,7.596408839779006,7.475745856353591,7.469889502762431,9.852486187845304,9.889337016574586,9.870883977900553,0.10226519337016575,0.27624309392265195,0.1878453038674033,3.4198895027624308,181
Haiti,7.153333333333333,6.998333333333334,7.111666666666667,7.126666666666666,7.276666666666666,7.0566666666666675,9.776666666666666,8.555,9.111666666666666,0.11,0.0,1.5,3.5,6
Honduras,7.2924528301886795,7.2341509433962266,7.061509433962264,7.233584905660377,7.239245283018868,7.1639622641509435,9.647735849056604,9.635283018867925,9.660377358490566,0.10773584905660377,0.18867924528301888,0.05660377358490566,3.5660377358490565,53
India,7.697857142857143,7.618571428571428,7.566428571428572,7.636428571428572,7.661428571428572,7.672857142857143,9.904285714285715,9.952142857142858,7.619285714285715,0.03785714285714286,0.5,1.4285714285714286,0.35714285714285715,14
Indonesia,7.648999999999999,7.573,7.4155,7.491,7.6315,7.5200000000000005,9.933,9.9665,9.9665,0.0985,0.05,0.3,4.2,20
Japan,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,0.12,0.0,0.0,0.0,1
Kenya,7.7867999999999995,7.7824,7.7132000000000005,7.8660000000000005,7.7264,7.8004,9.9732,9.9732,9.9732,0.08,0.24,0.04,2.52,25
Laos,7.503333333333333,7.5,7.28,7.3066666666666675,7.363333333333333,7.416666666666667,10.0,10.0,10.0,0.08333333333333333,0.0,0.0,0.0,3
Malawi,7.5672727272727265,7.387272727272728,7.257272727272727,7.408181818181817,7.338181818181818,7.371818181818182,10.0,10.0,10.0,0.12454545454545456,0.0,0.0,1.3636363636363635,11
Mauritius,7.25,7.25,7.17,7.17,7.25,7.17,10.0,10.0,10.0,0.12,0.0,0.0,0.0,1
Mexico,7.457584745762712,7.379025423728813,7.228050847457627,7.428347457627118,7.380466101694915,7.3286864406779655,9.74406779661017,9.65813559322034,9.97177966101695,0.11360169491525424,0.038135593220338986,0.8432203389830508,6.779661016949152,236
Myanmar,7.30375,7.3325,7.125,7.40625,7.27,7.13375,10.0,10.0,10.0,0.01375,0.0,0.125,5.75,8
Nicaragua,7.32923076923077,7.316923076923077,7.201923076923077,7.266538461538461,7.40076923076923,7.2784615384615385,9.794615384615385,9.76923076923077,9.820384615384615,0.10769230769230768,0.3076923076923077,0.2692307692307692,2.769230769230769,26
Panama,7.6675,7.625,7.605,7.705,7.5825,7.875,10.0,10.0,10.0,0.07,0.25,0.75,2.5,4
Papua New Guinea,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,0.12,0.0,0.0,1.0,1
Peru,7.6930000000000005,7.6579999999999995,7.5409999999999995,7.699,7.802,7.6659999999999995,9.533,9.466,9.866,0.066,0.1,1.3,3.7,10
Philippines,7.364,7.231999999999999,7.302,7.266,7.298,7.4,9.866,10.0,9.866,0.074,0.0,0.0,2.0,5
Rwanda,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,0.11,0.0,0.0,0.0,1
Taiwan,7.5336,7.4636,7.395466666666667,7.415466666666666,7.45,7.426000000000001,9.893066666666668,9.982133333333334,9.964400000000001,0.08106666666666666,0.06666666666666667,0.4533333333333333,0.3333333333333333,75
Tanzania,7.571250000000001,7.42975,7.425,7.5,7.479000000000001,7.46975,10.0,10.0,10.0,0.119,0.0,0.025,4.025,40
Thailand,7.4840625,7.528125,7.4734375,7.5971875,7.5521875,7.5240625,9.9375,9.9584375,9.958125,0.0909375,0.0,0.0625,0.5,32
Uganda,7.884166666666666,7.752777777777778,7.6225000000000005,7.708611111111111,7.720000000000001,7.6625000000000005,10.0,10.0,9.363333333333333,0.11361111111111111,0.1388888888888889,0.3888888888888889,3.5833333333333335,36
United States,7.605977011494253,7.622528735632184,7.541609195402299,7.651609195402299,7.652413793103448,7.664137931034483,9.501379310344827,9.60896551724138,9.643218390804599,0.050919540229885055,0.0,1.160919540229885,3.160919540229885,87
Vietnam,7.38625,7.375,7.1975,7.3625,7.5425,7.4575,9.66625,9.91625,9.58375,0.0675,0.0,9.25,3.75,8
Zambia,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,0.0,0.0,1.0,3.0,1
